"item","x","y"
"1",0,6.7354
"2",0.0704225352112676,7.42268
"3",0.140845070422535,8.31615
"4",0.211267605633803,7.28522
"5",0.28169014084507,6.80412
"6",0.352112676056338,6.32302
"7",0.422535211267606,7.76632
"8",0.492957746478873,7.42268
"9",0.563380281690141,7.76632
"10",0.633802816901408,8.65979
"11",0.704225352112676,8.04124
"12",0.774647887323944,8.38488
"13",0.845070422535211,6.59794
"14",0.915492957746479,8.52234
"15",0.985915492957746,6.94158
"16",1.05633802816901,8.52234
"17",1.12676056338028,8.59107
"18",1.19718309859155,7.62887
"19",1.26760563380282,7.14777
"20",1.33802816901408,7.14777
"21",1.40845070422535,6.46048
"22",1.47887323943662,7.49141
"23",1.54929577464789,6.52921
"24",1.61971830985915,7.01031
"25",1.69014084507042,7.14777
"26",1.76056338028169,6.7354
"27",1.83098591549296,8.93471
"28",1.90140845070423,8.52234
"29",1.97183098591549,6.87285
"30",2.04225352112676,7.42268
"31",2.11267605633803,7.97251
"32",2.1830985915493,8.31615
"33",2.25352112676056,9.14089
"34",2.32394366197183,11.2027
"35",2.3943661971831,9.96564
"36",2.46478873239437,8.45361
"37",2.53521126760563,9.48454
"38",2.6056338028169,10.4467
"39",2.67605633802817,10.9278
"40",2.74647887323944,12.5773
"41",2.8169014084507,11.2027
"42",2.88732394366197,9.69072
"43",2.95774647887324,8.79725
"44",3.02816901408451,9.00344
"45",3.09859154929577,10.1031
"46",3.16901408450704,9.55326
"47",3.23943661971831,8.65979
"48",3.30985915492958,11.2027
"49",3.38028169014085,8.52234
"50",3.45070422535211,8.79725
"51",3.52112676056338,10.5155
"52",3.59154929577465,9.34708
"53",3.66197183098592,10.1031
"54",3.73239436619718,10.8591
"55",3.80281690140845,11.134
"56",3.87323943661972,9.75945
"57",3.94366197183099,8.38488
"58",4.01408450704225,9.69072
"59",4.08450704225352,12.3024
"60",4.15492957746479,10.1031
"61",4.22535211267606,10.378
"62",4.29577464788732,10.7216
"63",4.36619718309859,12.8522
"64",4.43661971830986,10.378
"65",4.50704225352113,11.2027
"66",4.57746478873239,13.4708
"67",4.64788732394366,13.4021
"68",4.71830985915493,12.1649
"69",4.7887323943662,11.134
"70",4.85915492957746,12.3024
"71",4.92957746478873,12.1649
"72",5,14.3643
"73",5.07042253521127,10.8591
"74",5.14084507042254,12.8522
"75",5.2112676056338,13.677
"76",5.28169014084507,13.8144
"77",5.35211267605634,12.5773
"78",5.42253521126761,11.89
"79",5.49295774647887,11.2715
"80",5.56338028169014,12.9897
"81",5.63380281690141,12.5773
"82",5.70422535211268,12.0962
"83",5.77464788732394,13.1959
"84",5.84507042253521,12.2337
"85",5.91549295774648,13.3333
"86",5.98591549295775,12.9897
"87",6.05633802816901,11.5464
"88",6.12676056338028,12.7148
"89",6.19718309859155,11.5464
"90",6.26760563380282,12.4399
"91",6.33802816901408,10.7904
"92",6.40845070422535,13.5395
"93",6.47887323943662,11.9588
"94",6.54929577464789,12.1649
"95",6.61971830985915,12.9897
"96",6.69014084507042,12.0275
"97",6.76056338028169,12.8522
"98",6.83098591549296,9.48454
"99",6.90140845070423,12.4399
"100",6.97183098591549,11.4089
"101",7.04225352112676,12.4399
"102",7.11267605633803,11.134
"103",7.1830985915493,12.1649
"104",7.25352112676056,10.378
"105",7.32394366197183,10.1031
"106",7.3943661971831,12.9897
"107",7.46478873239437,12.3024
"108",7.53521126760563,13.1271
"109",7.6056338028169,11.2715
"110",7.67605633802817,16.0825
"111",7.74647887323944,16.0137
"112",7.8169014084507,13.8144
"113",7.88732394366197,12.7835
"114",7.95774647887324,10.4467
"115",8.02816901408451,9.55326
"116",8.09859154929578,7.97251
"117",8.16901408450704,6.32302
"118",8.23943661971831,7.28522
"119",8.30985915492958,5.70447
"120",8.38028169014085,7.14777
"121",8.45070422535211,6.11684
"122",8.52112676056338,5.97938
"123",8.59154929577465,6.7354
"124",8.66197183098592,6.59794
"125",8.73239436619718,5.56701
"126",8.80281690140845,7.28522
"127",8.87323943661972,6.94158
"128",8.94366197183099,6.2543
"129",9.01408450704225,5.70447
"130",9.08450704225352,7.21649
"131",9.15492957746479,5.97938
"132",9.22535211267606,7.07904
"133",9.29577464788732,7.21649
"134",9.36619718309859,8.45361
"135",9.43661971830986,6.94158
"136",9.50704225352113,9.27835
"137",9.57746478873239,7.28522
"138",9.64788732394366,8.65979
"139",9.71830985915493,7.28522
"140",9.7887323943662,8.24742
"141",9.85915492957747,7.97251
"142",9.92957746478873,6.80412
